url,status,error
sanjosebengalcats.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
peachmarketplace.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
peachmcintyre.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
peachmedical.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
peachmeleggings.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
peachmode.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
peachmodern.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
peachmountain.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
peachofmind.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
peachonaleash.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
peachorchardapartments.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
peachpaperdesign.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
peachperfectskincare.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
peachpitgym.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
peachpitmusic.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
peachpitpotteryshop.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
peach-pump.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
peachstatebasketball.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
peachstatecandlesupply.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
peachstateco.com,error,Error in Ollama analysis: 404 Client Error: Not Found for url: http://ollama:11434/api/generate
