url,status,keywords,business_name,products_services,target_audience,audience_group,location,headers,emails,phones,top_competitors,gmb_setup,non_indexed_pages,error,shorter_version_of_target_audience,short_target_audience,short_version_of_audience
sanjosebengalcats.com,success,"['exotic Bengal kittens for sale in San Jose', 'trusted Bengal cat breeders New York Los Angeles Miami', 'Bengal cats with vaccinations deworming genetic health guarantee', 'intelligent playful affectionate nature of Bengal kittens', 'responsible breeding and well-socialized Bengal kittens']",o,"Bengal Kittens for Sale, Bengal Adults for Sale, Studs and Queens Bengals",Pet owners interested in exotic Bengal cats,Exotic Cat Enthusiasts,San Jose,[],['rene@sanjosebengalcats.com'],[],"['https://www.mapquest.com', 'https://thebengalconnection.com', 'https://sfbay.craigslist.org', 'http://www.sanjosebengalcats.com', 'https://quality-bengal-kittens.com']",N,7360,,,,
peachmarketplace.com,partial error,"['halloween themed graphic tees', 'leopard pumpkin long sleeve shirts', 'fall essential tops and dresses', 'embroidery accessories for holidays', 'discounted sale prices on fashion']",,"Graphic Tees, Embroidery Accessories, Tops and Dresses, Leopard Pumpkin Shirts, Halloween Shirts",Fashion enthusiasts seeking trendy tees and accessories,,US,[],[],[],,,,too many values to unpack (expected 2),,,
peachmcintyre.com,partial error,"['social media content creation services', 'online social media classes via Zoom', 'turn internet into income courses', '2025 social media strategy training', 'digital marketing education from Peach McIntyre']",,"Social Media Content Creator, Group Classes",Individuals aspiring to monetize their online presence through social media,,US,[],"['Inc.813.797.1396support@peachmcintyre.com', 'support@peachmcintyre.com']",[''],,,,too many values to unpack (expected 2),Aspiring social media entrepreneurs,,
peachmedical.com,error,,,,,,,,,,,,,"Error scraping https://peachmedical.com: HTTPSConnectionPool(host='peachmedical.com', port=443): Read timed out. (read timeout=10)",,,
peachmeleggings.com,partial error,"['peach printed leggings', 'flared pants sets', 'gradient collection leggings', 'self love club merchandise', 'shop now pay later options']",,"leggings, shorts, flare pants, tops, bras, pocket collections, tie dye collections",Fashion-conscious shoppers interested in trendy leggings and accessories,,United States,[],[],[],,,,too many values to unpack (expected 2),,,
peachmode.com,partial error,"['download Peachmode app on Android and iOS', 'Bridal sarees with floral print', 'Casual and daily wear salwar suits', 'Party and wedding kurtis in cotton fabric', 'Multi-color luxury woolen collections']",,"Sarees, Salwar Suits, Kurtis, Tops & Tunics, Dresses",Women interested in traditional Indian wear,,US,[],[],[],,,,too many values to unpack (expected 2),,,
peachmodern.com,success,"['vintage aluminum on travertine fish sculpture', 'mid-century modern marble bowl or wine coaster', 'handmade shaker picked fence fluted basket', 'absolut vodka bottle by romero britto', 'welded iron brutalist blade sculpture']",o,"furniture, seating tables, storage, outdoor lighting, art and wall decor, jewelry and watches",Connoisseurs of vintage and modern design pieces,,US,[],[],[],"['https://www.peachmodern.com', 'https://www.pamono.dk', 'https://www.chairish.com', 'https://www.indiamart.com', 'https://www.ebay.com']",N,424,,,Design enthusiasts and collectors,
peachmountain.com,success,"['history of tanks world war I II', 'photos of military fortifications', 'books on World War II aircraft', 'military museums and travel essays', 'naval warfare history essays']",o,"History, Photos of Tanks, Fortifications, Ships, Planes, Books, Games, Essays, Travel",History enthusiasts interested in military and aviation topics,,US,[],['info@usaww1.com'],[],"['https://www.defense.gov', '://', 'https://www.britannica.com', 'https://armyhistory.org', 'https://guides.loc.gov']",N,443,,,,
peachofmind.com,success,"['adorable Halloween costumes for babies', 'budget-friendly Halloween decorations', 'Winnie the Pooh baby shower themes', 'unique ways to roast broccoli', 'summer lemon print clothing']",o,"Halloween costumes, Halloween decorations, Baby shower decorations, Roasted broccoli recipes, Summer fashion clothing",Parents with young children,,Georgia,[],[],[],"['https://www.pinterest.com', 'https://www.lovejac.com', 'https://kytebaby.com', 'https://www.hgtv.com', 'https://www.happiestbaby.com']",N,0,,,,
peachonaleash.com,partial error,"['effective dog training services in Atlanta', 'in-home private dog training programs', 'group classes for reactive dogs and puppies', 'therapy dog training with lifetime support', 'board and train dog services in North Atlanta']",,"In-Home Private Dog Training, Group Classes, Board & Train Services, Puppy Training, Manners & Obedience, Leash Training, Aggression & Reactivity Training, Fearful & Shy Dogs Training, Therapy Dog Training",Dog owners in North Atlanta seeking training and behavior solutions for their pets.,,"Alpharetta, Georgia",[],['info@peachonaleash.com'],[],,,,too many values to unpack (expected 2),,,North Atlanta dog owners needing training services
peachorchardapartments.com,partial error,"['luxury apartments in Augusta, GA', 'apartments near 520 and I20 highways', 'residential community amenities', 'Augusta apartments with swimming pool', 'affordable luxury living in Augusta']",,"Apartment rentals, Floor plans, Residential community features",Prospective renters looking for luxury apartments,,"3630 Peach Orchard Road, Augusta, GA 30906",[],['peachorchard@gatewaymgt.com'],[],,,,too many values to unpack (expected 2),,,
peachpaperdesign.com,success,"['custom wedding invitation design services', 'small business graphic branding solutions', 'unique wedding stationery creation', 'modern small business branding help', 'high-quality watercolor stationery designs']",o,"custom stationery, wedding invitations, small business branding, print shop 'dibs', wildflower prints, 'the best' prints, 'home' prints, desert sunset prints, texas bluebonnet prints","thoughtful couples planning weddings, creative small business owners",,US,[],[],[],"['https://www.trulyengaging.com', 'https://cardsandpockets.com', 'http://www.cardsandpockets.com', 'https://contagiousevents.net', 'https://bespokedesigns.com']",N,140,,,,
peachperfectskincare.com,partial error,"['full body waxing services Los Angeles', 'European facial treatments West Hills CA', 'custom facials West Hills', 'rejuvenating spa body treatments West Hills', 'professional waxing salon in West Hills']",,"Full Body Waxing, Brazilian Bikini Wax, Eyebrow Shaping, European Facials, Spa Body Treatments",Individuals seeking professional waxing and skincare treatments,,"West Hills, CA",[],[],[''],,,,too many values to unpack (expected 2),,,
peachpitgym.com,partial error,"['boutique gymnastics studio Atlanta', 'competitive cheerleading classes Georgia', 'dance company training programs', 'gymnastics and tumbling camps for kids', 'private lessons in trampoline and ninja skills']",,"Gymnastics, Cheerleading, Dance, Ninja, Trampoline & Tumbling, Competitive Teams, Camps, Private Lessons, Adult Programming",Parents seeking gymnastics and dance classes for kids,,"Atlanta, Georgia",[],"['theprado@peachpitgym.com', 'ssi@peachpitgym.com', 'manager@peachpitgym.com', 'dance@peachpitgym.com']",[''],,,,too many values to unpack (expected 2),,,
peachpitmusic.com,success,"['Peach Pit new album Magpie', 'Peach Pit music downloads', 'Peach Pit tour merchandise', 'Peach Pit electronic mailing list signup', 'Peach Pit social media platforms']",o,"New album 'Magpie', Music tracks, Tour Merchandise, Mailing List Subscription",Music fans interested in Peach Pit's latest releases and merchandise,,US,[],[],[],"['https://store.peachpitmusic.com', 'https://music.apple.com', 'https://www.peachpitmusic.com', 'https://www.sonymusic.ca', 'https://thegatewayonline.ca']",N,657,,,,
peachpitpotteryshop.com,partial error,"['handcrafted pottery shop online', 'unique ceramic home decor pieces', 'customizable pottery gifts for occasions', 'artisanal pottery collections for sale', 'local pottery artists featured products']",,"ceramic pots, handmade vases, artisan pottery bowls, custom pottery gifts, decorative home pottery",Pottery enthusiasts and collectors,,US,[],['info@peachpitpotteryshop.com'],[],,,,too many values to unpack (expected 2),,,
peach-pump.com,partial error,"['peach pump seamless leggings', 'shaping effect gym leggings', 'high-quality black sports bras', 'innovative fabric workout clothing', 'comfortable and breathable sport sets']",,"gym clothing, yoga clothing, seamless leggings, leggings with pockets, sports bras, tops, jackets, sport sets, shorts sets, legging sets, accessories",Fitness enthusiasts seeking high-quality workout attire,,US,[],[],[],,,,too many values to unpack (expected 2),,,
peachstatebasketball.com,success,"['Brandon Clay All-American Showcase', 'Brandon Clay Elite 100 Showcase events', 'Grassroots basketball player scouting', 'Brand marketing profiles for athletes', 'College recruiting and training for basketball']",o,"Basketball showcases, Brand marketing for players, Scouting reports, Training programs, Merchandise sales",Youth basketball prospects and their families,,US,[],[],[],"['https://x.com', 'https://prospectsnation.com']",N,955,,,,
peachstatecandlesupply.com,partial error,"['fragrance oils for candle making', 'candle making supplies with free shipping over $100', 'concentrated mop soap base for DIY products', 'alcohol based room spray body spray base', 'leather and brandy fragrance oil']",,"Fragrance Oils, Candle Making Supplies, Reed/Electric Diffuser Base, Concentrated Mop Soap Base, Leather & Brandy Fragrance Oil, Lakeside Morning Fragrance Oil, Champagne Apple & Honey Fragrance Oil",Candle makers and DIY enthusiasts,,United States,[],[],[],,,,too many values to unpack (expected 2),,,
peachstateco.com,success,"['civil construction services Covington', 'licensed utility contractor services', 'road construction projects Georgia', 'concrete installation company', 'civil site development specialists']",o,"Road construction, Concrete Installation, Civil Site Development",Government Agencies and Private Companies needing civil construction,,"Covington, Georgia",[],"['info@peachstateco.com', '770-788-6363info@peachstateco.com']",[''],"['https://www.dnb.com', 'https://www.steelcobuildings.com', 'https://www.procore.com', 'https://www.malcoconstructioninc.com', 'https://www.houzz.com']",N,8,,,,
