url,status,keywords,business_name,products_services,target_audience,emails,phones,articles,error
http://Sanjosebengalcats.com,success,"['Bengal cat', 'San Jose Bengal Cats', 'kittens for sale', 'adopt a pet', 'Bengal adults for sale']",San Jose Bengal Cats,"Bengal kittens and cats for sale, adoption services","Cat lovers, especially those interested in exotic breeds like the Bengal cat.",['rene@sanjosebengalcats.com'],[],,
peachmarketplace.com,success,"['Leopard', 'Pumpkin', 'Halloween', 'Tee', 'Sweatshirt', 'Long Sleeve']",Peach Marketplace,"Home Accessories, Holiday Collection, Embroidery, Clearance, Full Catalog, Reviews",,[],[],,
peachmcintyre.com,success,"['peach mcintyre', 'social media content creator', 'big bag big bank', 'home shop e guidebook online', 'do it yourself credit repair kit', 'write a book with peach e guide']",Peach McIntyre Inc.,"Social Media Content Creator, Big Bag, Big Bank, Home Shop E-Guidebook Online, Do It Yourself Credit Repair Kit, Write A Book With Peach E-Guide",,"['Inc.813.797.1396support@peachmcintyre.com', 'support@peachmcintyre.com']",[''],,
peachmedical.com,success,"['Lucira', 'BinaxNow', 'QuickVue', 'CareStart', 'FlowFlex', 'iHealth']",Peach Medical,"B2B and e-commerce purchasing, fulfillment technology, product procurement expertise, point of care testing, rapid diagnostic testing, home test kits, over-the-counter antigen tests, CLIA waived tests",,[],[],,
peachmeleggings.com,success,"['leggings', 'peach', 'meleggings', 'shop now', 'pay later', 'afterpay', 'shop pay']",Peach Me Leggings,"Leggings, shorts, flare pants, skirts, tops, bras, pullover/jacket, long sleeve, short sleeve, tank top, one pieces",Women's fashion,[],[],,
peachmode.com,success,"['sarees', 'fabric', 'silk', 'chiffon', 'georgette', 'crepe', 'organza', 'banarasi silk', 'kanjivaram', 'patola', 'bandhani', 'embroidered']",Peachmode,"Sarees, Salwar Suits, Kurtis, Dresses, Co-ords, LUXE Woolen Sale",,['contact@peachmode.com'],[],,
peachmodern.com,success,"['furniture', 'art', 'collectibles']",Peach Modern,"unique collection of furniture, art and collectibles",,[],[],,
peach-momo.com,success,,,,,[],[],"[{'title': ""Bed Bath and Beyond's New Product: Our Table"", 'description': ""We tried Bed Bath and Beyond's new product, Our Table, and shared our thoughts in a video. Check it out for a closer look at this innovative kitchen gadget."", 'image': 'https://i.imgur.com/Mu8X3Dj.png', 'date': '2021-09-09'}, {'title': 'Testing the New iPad and iPad Mini: A Comprehensive Review', 'description': 'We compare the new iPad and iPad Mini in a detailed review, covering their features, functionality, and performance. Find out which one is the best fit for you.', 'image': 'https://i.imgur.com/o7RBW9.png', 'date': '2021-09-09'}, {'title': 'The Secret to Quick and Easy Dinner: A Closer Look at the Bamboo Steamer', 'description': 'Learn the secret to making quick and easy dinners with a bamboo steamer. We take a closer look at this versatile kitchen tool in our latest video.', 'image': 'https://i.imgur.com/RWaX675.png', 'date': '2021-08-23'}, {'title': 'Three Stars vs One: A Comparison of the Galaxy Watch 4 and Apple Watch Series 6', 'description': 'In our latest video, we compare the new Galaxy Watch 4 with the Apple Watch Series 6. Find out which one comes out on top in terms of features, functionality, and performance.', 'image': 'https://i.imgur.com/VH5B975.png', 'date': '2021-08-10'}, {'title': 'The Best Kitchen Gadget for Your Money: A Closer Look at the Martinez Brush', 'description': ""We take a closer look at the Martinez Brush, a versatile kitchen tool that can help you cook and prepare food with ease. Find out why it's one of the best kitchen gadgets for your money."", 'image': 'https://i.imgur.com/LQ8X575.png', 'date': '2021-08-06'}]",
peachmountain.com,success,"['tanks', 'fortifications', 'ships', 'planes', 'books', 'games', 'essays', 'travel']",Peachmountain.com,"History, Photos of Tanks, Fortifications, Ships and Planes, Books, Games, Essays and Travel",,['info@usaww1.com'],[],,
peachmusic.com,error,,,,,,,,"Error scraping https://peachmusic.com: HTTPSConnectionPool(host='peachmusic.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'peachmusic.com'. (_ssl.c:1007)"")))"
