url,status,error,keywords,business_name,products_services,target_audience,location,headers,emails,phones,top_competitors,gmb_setup,non_indexed_pages
url,error,"Error scraping https://url: HTTPSConnectionPool(host='url', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f4183544850>: Failed to resolve 'url' ([Errno -3] Temporary failure in name resolution)""))",,,,,,,,,,,
sanjosebengalcats.com,success,,"['bengal cat breeders', 'bengal kittens for sale san jose', 'bengal cats for adoption', 'exotic feline companions', 'bengal cat pricing']",San Jose Bengal Cats,"Bengal kittens, Bengal adult cats, Pedigree Paperwork, health checked by a licensed veterinarian","Individuals and families seeking exotic feline companions, Bengal enthusiasts, first-time owners, those looking for a unique and intelligent pet.","New York, Los Angeles, Miami, San Jose",[],['rene@sanjosebengalcats.com'],[],"['https://bengalcatclub.com', 'https://thebengalconnection.com', 'https://www.hypoallergenicbengalcat.com', 'https://www.f1savannahkittens.com']",False,7020.0
peachmarketplace.com,success,,"['halloween shirts', 'fall clothing online', 'holiday tees for women', 'embroidery accessories home decor', 'christmas sweaters for adults']",Peach Marketplace,"t-shirts, hoodies, sweatshirts, home decor items, embroidery accessories",Adults and young adults seeking holiday-themed clothing and home decor items with a focus on quality and affordability.,United States,[],[],[],"['https://www.amazon.com', 'https://www.halloweenshirtcompany.com', 'https://oldnavy.gap.com', 'https://www.etsy.com', 'https://www.youtube.com']",True,337.0
peachmcintyre.com,success,,"['social media content creator', 'online business mentorship program', '7 day content creator group mentorship', 'turning internet into income', 'online marketing training']",Peach McIntyre Inc.,"Mentor Me Peach 7 Day Content Creator Group Mentorship Program, online business training",Individuals and small businesses seeking to create a successful online presence and generate income through the internet,United States,[],"['support@peachmcintyre.com', 'Inc.813.797.1396support@peachmcintyre.com']",[''],"['https://www.upwork.com', 'https://www.linkedin.com', 'https://www.clickanalytic.com', 'https://www.firstpointusa.com', 'https://www.toptal.com']",True,178.0
peachmedical.com,success,,"['rapid antigen covid-19 test kits', 'over the counter at home covid-19 testing', 'point of care diagnostic testing', 'pcr quality at home covid-19 tests', 'b2b fulfillment technology and product procurement']",Peach Medical,"rapid antigen test kits, pcr quality at home covid-19 tests, point of care diagnostic testing, b2b fulfillment technology and product procurement, over the counter at home covid-19 testing","healthcare professionals, individuals seeking rapid and convenient COVID-19 testing options, businesses looking for B2B fulfillment services",United States,[],[],[],"['https://www.fda.gov', '://', 'https://covidtests.gov', 'https://www.globalpointofcare.abbott', 'https://www.hhs.gov']",True,325.0
peachmeleggings.com,success,,"['leggings online shopping', 'free shipping usa', 'shop now pay later usa', 'peach me leggings sets', 'peach me signature collection']",Peach Me Leggings,"Leggings, Sets, Shorts, Flare Pants, Skirts, Tops, Bras, Pullover/Jacket, Long Sleeve, Short Sleeve, Tank Top, One Pieces",Individuals and families in the United States seeking comfortable and stylish clothing with free shipping options,United States,[],[],[],['://'],True,181.0
peachmode.com,success,,"['indian ethnic wear online', 'sarees for women', 'salwar kameez online store', 'kurtis and tops online shopping', 'traditional indian clothing online']",Peachmode,"Sarees, Salwar Suits, Kurtis, Tops & Tunics, Dresses, Co-ords","Women seeking traditional Indian clothing and ethnic wear in countries including India, Australia, Austria, Belgium, Canada, and more.",India,[],[],[],"['https://theindianethnicco.com', 'https://juniperfashion.com', 'https://www.jaipuriadaah.com', 'https://www.karajjaipur.com', 'https://saundh.com']",True,222000.0
peachmodern.com,success,,"['mid century modern furniture', 'vintage collectibles for sale online', 'unique art pieces for home decor', 'brutalist blade sculpture for sale', 'peach modern furniture collection']",Peach Modern,"furniture, art, collectibles, mid century modern furniture, vintage collectibles","individuals and families seeking unique home decor items with a focus on art and collectibles, likely aged 25-55, medium to high income, interested in design and interior decorating.",United States,[],[],[],"['https://midcenturywarehouse.com', 'https://vermontwoodsstudios.com', 'https://www.crateandbarrel.com', 'https://www.castlery.com', 'https://www.stickley.com']",False,424.0
peachmountain.com,success,,"['world war i aircraft', 'world war ii tanks', 'cold war military history', 'tank museums saumur fort knox aberdeen ottawa moscow st petersburg', 'military history books games essays travel']",Peachmountain.com,"Tank Museums, Warships, Aircraft, Essays, Books, Games, Travel, Military History, World War I and II","Military enthusiasts, historians, researchers, and students of World War I and II seeking information on aircraft, tanks, warships, and military history.",United States,[],['info@usaww1.com'],[],"['https://en.wikipedia.org', 'https://www.militaryaviationmuseum.org', 'https://www.history.navy.mil', 'https://www.militaryfactory.com', 'https://www.nationalmuseum.af.mil']",False,364.0
peachofmind.com,success,,"['halloween costumes for babies', 'baby halloween ideas', 'roasting broccoli recipes', 'easy ways to roast broccoli', 'patterned palazzo pants']",Peach of Mind,,"new mothers and young adults seeking lifestyle advice, product recommendations, and DIY ideas for special occasions and everyday life.",United States,[],[],[],"['https://www.amazon.com', 'https://www.spirithalloween.com', 'https://www.target.com', 'https://www.halloweencostumes.com', 'https://www.disneystore.com']",False,2230.0
peachonaleash.com,success,,"['dog training Atlanta', 'Atlanta dog trainers', 'in-home dog training', 'board and train dogs Atlanta', 'online dog training programs']",Peach on a Leash Dog Training and Behavior Services,"In-Home Private Dog Training, Board & Train, Group Classes, Online Dog Training, Puppy Training, Manners & Obedience, Leash Training, Aggression & Reactivity, Fearful & Shy Dogs, Therapy Dog Training","Families with dogs in the Metro Atlanta and northern suburbs area, seeking expert dog training services, including puppy owners, dog owners with behavioral issues, and individuals looking for obedience and therapy dog training.","Alpharetta, Georgia, serving Metro Atlanta and its northern suburbs",[],['info@peachonaleash.com'],[],"['https://dogtrainingelite.com', 'https://www.atlantadogtrainer.com', 'https://www.superiordogtraining.com', 'https://marketplace.akc.org', 'https://www.linkedin.com']",False,260.0
peachorchardapartments.com,success,,"['luxury apartments in Augusta GA', 'apartments near Augusta Mall GA', 'affordable apartments in Augusta GA', 'peach orchard apartments augusta ga', 'apartment communities in Augusta GA']",Peach Orchard Apartments,"apartments, floor plans, amenities","Families and individuals seeking luxury apartment living in Augusta, GA, with a focus on affordability, convenient location, and community features.","Augusta, GA",[],['peachorchard@gatewaymgt.com'],[],"['https://www.apartments.com', 'https://www.zillow.com', 'https://www.liveattheaugustan.com', 'https://www.argentoatriverwatch.com', 'https://www.rentcafe.com']",True,0.0
peachpaperdesign.com,success,,"['custom wedding invitation design', 'small business branding services', 'unique wedding stationery', 'graphic design for weddings', 'watercolor wedding invitations']",Peach Paper & Design,"Custom stationery, branding, print shop, custom wedding invitations, small business branding.",Thoughtful couples and creative entrepreneurs seeking unique wedding stationery and modern branding solutions.,United States,[],[],[],"['https://www.shutterfly.com', 'https://www.basicinvite.com', 'https://lilyandroeco.com', 'https://www.vivahcards.com', 'https://www.dodelinedesign.com']",False,120.0
peachperfectskincare.com,success,,"['full-body-waxing-services', 'Brazilian-bikini-wax-near-me', 'eyebrow-shaping-treatment', 'custom-facials-los-angeles', 'spa-body-treatments-west-hills-ca']",Peach Perfect Skincare,"full body waxing, eyebrow shaping, Brazilian bikini wax, custom facials, spa body treatments","Women seeking hair removal and skin care services in West Hills, CA, specifically targeting individuals aged 18-45 who are interested in pampering and relaxation.","West Hills, CA",[],[],[''],"['https://www.fresha.com', 'https://booksy.com', 'https://mintwaxcenter.com', 'http://peachperfectwaxing.com', 'https://square.site']",True,23.0
