url,status,keywords,business_name,products_services,target_audience,location,headers,emails,phones,top_competitors,gmb_setup,non_indexed_pages
sanjosebengalcats.com,success,"['Bengal cat breeders near me', 'exotic feline companions for sale', 'Bengal kittens for adoption', 'Bengal cats for sale in California', 'Asian leopard cat breeders']",San Jose Bengal Cats,"Bengal kittens, Bengal adult cats, Pedigree Paperwork, health checked by a licensed veterinarian",Cat Lovers seeking Exotic Pet Companions,California,[],['rene@sanjosebengalcats.com'],[],"['https://quality-bengal-kittens.com', 'https://arkhambengals.com', 'https://jakswildbengals.com', 'https://thebengalconnection.com', 'https://shangripawbengals.com']",No,0
peachmarketplace.com,success,"['halloween t-shirts', 'fall clothing for women', 'leopard print tops and dresses', 'christmas reindeer sweatshirt', 'embroidery home decor accessories']",Peach Marketplace,"Halloween shirts, long sleeve tees, autumn stacking bracelets, fall essentials, embroidery clearance, home decor items",Women seeking holiday clothing and gifts,US,[],[],[],"['https://www.halloweenshirtcompany.com', 'https://www.ebay.com', 'https://oldnavy.gap.com', 'https://www.crazydogtshirts.com', 'https://www.disneystore.com']",Yes,376
peachmcintyre.com,success,"['social media content creator', 'online business income generation', 'digital marketing education', 'turning internet into income', 'online entrepreneurship training']",Peach McIntyre Inc.,,Women seeking Online Entrepreneurship Training,US,[],"['support@peachmcintyre.com', 'Inc.813.797.1396support@peachmcintyre.com']",[''],"['https://www.criticalmention.com', 'https://www.brandbridgemarketing.com', 'https://www.ubiquitousinfluence.com', 'https://business.turrior.com', 'https://turrior.com']",Yes,146
peachmedical.com,success,"['medical equipment suppliers', 'hospital furniture wholesale', 'medical supply distributors', 'healthcare equipment sales', 'medical product wholesalers']",,,Medical Professionals and Healthcare Institutions,US,[],[],[],"['https://www.healthcaretalentlink.com', '://', 'https://www.radtechnology.com', 'https://cellcarta.com', 'https://precisionmedical.com']",N/A,297
peachmeleggings.com,success,"['leggings online shopping', 'cheap leggings for women', ""women's loungewear sets"", 'leggings for plus size women', 'affordable activewear for women']",Peach Me Leggings,"Leggings, Sets, Shorts, Flare Pants, Bras, Pullover/Jacket, Long Sleeve Short Sleeve Tank Top One Pieces",Women seeking affordable fashion and comfort wear,US,[],[],[],"['https://www.revolutionrace.com', 'https://www.calzedonia.com', 'https://www.sthcute.com', 'https://www.constantlyvariedgear.com', 'https://www.onlyleggings.com']",Yes,188
peachmode.com,success,"['indian sarees online', 'ethnic clothing store', 'traditional salwar kameez', 'bollywood style dresses', 'online ethnic wear shopping']",Peachmode,"sarees, salwar suits, kurtis, tops & tunics, dresses, co-ords, luxury woolen garments",Women seeking Ethnic and Traditional Clothing,International (multiple countries listed),[],[],[],"['https://empress-clothing.com', 'https://www.bharatsthali.com', 'https://www.mohifashion.com', 'https://www.bengallooms.com', 'https://www.andaazfashion.com']",Yes,219000
peachmodern.com,success,"['vintage mid century furniture', 'industrial solid brass waste basket', 'georg jensen cutting board', 'hollywood regency bookends', 'surreal life size mirror']",Peach Modern,"Furniture, art and collectibles",Luxury Design Enthusiasts seeking unique home decor,US,[],[],[],"['https://sunbeamvintage.com', 'https://vintage-mc.com', 'https://apmidcenturymodern.com', 'https://www.mustardvintage.com', 'https://midcenturywarehouse.com']",No,367
peachmountain.com,success,"['World War I aircraft', 'World War II tanks', 'Cold War warships', 'tank museums Saumur Fort Knox Aberdeen Ottawa Moscow St. Petersburg', 'aviation history essays']",Peachmountain.com,"Tank Museums, Essays, Games, Books, Travel, World War I and II Aircraft, Battleships, Warships, History of Tanks and Fortifications",History Enthusiasts interested in World Wars and Military Aviation,US,[],['info@usaww1.com'],[],"['https://www.britannica.com', '://', 'https://www.history.navy.mil', 'https://www.militaryaviationmuseum.org', 'https://www.militaryfactory.com']",No,520
peachofmind.com,success,"['halloween costumes for babies', 'budget halloween decorations on amazon', 'winnie the pooh baby shower ideas', 'easy ways to roast broccoli', 'summer clothing with lemon print']",Peach of Mind,"Halloween costumes, party decorations, baby shower themes, cookware, clothing, home decor",New mothers and parents seeking parenting tips and product recommendations,US,[],[],[],"['https://www.halloweencostumes.com', 'https://www.partycity.com', 'https://www.target.com', 'https://www.spirithalloween.com', 'https://www.disneystore.com']",No,2290
peachonaleash.com,success,"['dog training Atlanta', 'puppy training near me', 'in-home dog training services', 'board and train programs for dogs', 'aggressive dog training techniques']",Peach on a Leash Dog Training and Behavior Services,"In-Home Private Dog Training, Board & Train, Group Classes, Online Dog Training, Puppy Training, Manners & Obedience, Leash Training, Aggression & Reactivity, Fearful & Shy Dogs, Therapy Dog Training",Dog Owners Seeking Professional Training Solutions,"Alpharetta, Georgia; Metro Atlanta and its northern suburbs",[],['info@peachonaleash.com'],[],['://'],N/A,406
