url,status,keywords,business_name,products_services,target_audience,headers,emails,phones,transaction,error
http://Sanjosebengalcats.com,success,"['bengal cat breeders', 'bengal kittens for sale san jose', 'bengal cats for adoption near me', 'exotic domestic cats for sale', 'bengal adult cats for sale']",San Jose Bengal Cats,"Bengal kittens, Bengal adults, Pedigree paperwork, health checks, vaccinations, dewormings, 2 Year genetic health guarantee","Individuals and families seeking exotic feline companions, particularly those who value intelligence, playfulness, and affectionate nature in their pets",[],['rene@sanjosebengalcats.com'],[],,
peachmarketplace.com,success,"['Verified marketplace online', 'Secure payment processing platform', 'Trusted online shopping experience', 'E-commerce website security features', 'Reliable checkout process']",Peach Marketplace,,,[],[],[],,
peachmcintyre.com,success,"['social media content creator training', 'online business mentorship program', 'credit repair kit download', 'e-guides for social media marketing', 'writing a book with peach e-guide']",Peach McIntyre Inc.,"Social Media Content Creator Training, Do It Yourself Credit Repair Kit, E-Guides (Writing A Book With Peach, Facebook Reels, YouTube)",Individuals and small businesses seeking online business training and resources to create income through social media content creation.,[],"['Inc.813.797.1396support@peachmcintyre.com', 'support@peachmcintyre.com']",[''],,
peachmedical.com,success,"['point-of-care-testing-products', 'rapid-covid-19-antigen-tests', 'over-the-counter-antigen-test-kits', 'at-home-covid-19-testing', 'b2b-supply-chain-management']",Peach Medical,"Point of Care Testing Products (POCT), Rapid Covid-19 Antigen Tests, Over The Counter Antigen Test Kits, At-Home COVID-19 Testing, B2B Supply Chain Management","Businesses and individuals seeking rapid and reliable diagnostic testing solutions for various infections, including COVID-19, with a focus on convenience and ease of use.",[],[],[],,
peachmeleggings.com,success,"[""women's leggings online store"", 'stretchy leggings for women', 'comfortable workout leggings', 'athleisure wear for women', 'fashionable yoga pants']",Peach Me Leggings,"Women's leggings, activewear, athleisure wear, yoga pants","Active, fashion-conscious women seeking comfortable and stylish clothing for various activities.",[],[],[],,
peachmode.com,success,"['verified connection', 'enable javascript for website access', 'javascript required for peach mode', 'connection verification for peachmode website', 'enabling cookies for secure browsing']",Peachmode,,General internet users seeking to access the Peachmode website.,[],[],[],,
peachmodern.com,success,"['bengal cat adoption near me', 'rescued bengal cats for sale', 'adopt a bengal kitten online', 'bengal cat breeders usa', 'buying a bengal cat from rescue']",Peach Modern,"Bengal kittens, Bengal adult cats, rescued Bengal cats, adopted Bengal cats","Individuals and families seeking to adopt or buy Bengal cats, likely living in the USA, with a focus on rescuing and adopting from reputable sources.",[],[],[],,
peach-momo.com,success,[],,,,[],[],[],"[{'product_name': '耐热玻璃', 'discount': 29, 'price': 19.91, 'store': '沃尔玛'}, {'product_name': '独奏炉包', 'discount': 35, 'price': None, 'store': '独立商店'}, {'product_name': '花蜜床垫', 'discount': None, 'price': None, 'store': 'Nectar'}, {'product_name': 'Dyson V8绝对无绳真空', 'discount': 70, 'price': 379.99, 'store': '戴森'}, {'product_name': 'Keurig K-Plus迷你单杯咖啡机', 'discount': None, 'price': 60, 'store': '床上用品店'}]",
peachmountain.com,success,"['world war i aircraft', 'tank museums saumur fort knox aberdeen ottawa moscow st petersburg', 'world war ii aircraft america france canada', 'warships tanks world war i ii and cold war', 'history of tanks fortifications ships and planes']",Peachmountain.com,"tank museums, history books, games, essays, travel guides, warship information","history enthusiasts, particularly those interested in world war i and ii aircraft, tanks, and military fortifications, as well as individuals planning to visit tank museums and historical sites",[],['info@usaww1.com'],[],,
peachmusic.com,error,,,,,,,,,"Error scraping https://peachmusic.com: HTTPSConnectionPool(host='peachmusic.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'peachmusic.com'. (_ssl.c:1007)"")))"
peachmyk.com,error,,,,,,,,,"Error scraping https://peachmyk.com: HTTPSConnectionPool(host='peachmyk.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1007)')))"
peachofmind.com,success,"['cute halloween costumes for babies', 'halloween decorations on a budget', 'winnie the pooh baby shower ideas', 'easy ways to roast broccoli', 'lemon clothing for summer']",Peach of Mind,,"Individuals and families seeking lifestyle inspiration, particularly mothers-to-be and new parents, with interests in parenting, baby showers, home decor, fashion, and cooking.",[],[],[],,
peachonaleash.com,success,"['atlanta dog training', 'dog training north atlanta', 'in-home dog training atlanta', 'board and train dogs atlanta', 'group dog classes atlanta']",Peach on a Leash Dog Training and Behavior Services,"Bengal cats, Bengal kittens, puppy training, manners, obedience, leash training, aggression, reactivity, therapy dog training, group classes","Families with dogs in the North Atlanta area seeking expert dog training services, including individuals and families with new puppies or older dogs requiring training transformation",[],['info@peachonaleash.com'],[],,
