url,status,keywords,business_name,products_services,target_audience,location,headers,emails,phones,top_competitors,gmb_setup,non_indexed_pages,error
sanjosebengalcats.com,success,"['exotic feline companion', 'Bengal cat breeders in San Jose', 'buy healthy Bengal kittens', 'well-socialized Bengal cats for sale', 'adult Bengals retiring from breeding']",o,"Bengal kittens, Bengal adults for sale",Prospective Bengal cat owners seeking exotic pets,US,[],['rene@sanjosebengalcats.com'],[],"['https://efrc.org', 'https://www.petinsurance.com', 'https://www.visitindiana.com', 'https://www.litter-robot.com', 'https://mapsmemoriesandmotherhood.com']",N,6610,
peachmarketplace.com,partial error,"['graphic tees with embroidery designs', 'leopard pumpkin themed long sleeve shirts', 'fall essential clothing items', 'halloween shirts featuring cats and bats', 'autumn stacking bracelets for Halloween']",,"Graphic Tees, Embroidery Accessories, Tops and Dresses, Leopard Pumpkin Shirts, Long Sleeve Fall Essentials, Ghosts and Cats Halloween Shirt, Fall Favorites Tee, Halloween Beaded Bracelet, Autumn Stacking Bracelet, Peach Marketplace Gift Card",Individuals interested in themed graphic apparel and accessories,US,[],[],[],,,,too many values to unpack (expected 2)
peachmcintyre.com,partial error,"['social media content creation services', 'online income generation strategies', '2025 social media class registration', 'virtual training for internet monetization', 'social media success workshops']",,"Social Media Content Creation, Group Classes, Online Training",Aspiring Social Media Entrepreneurs,US,[],"['Inc.813.797.1396support@peachmcintyre.com', 'support@peachmcintyre.com']",[''],,,,too many values to unpack (expected 2)
peachmedical.com,partial error,"['cloudflare dns resolution issues', 'prohibited ip address error fix', 'website owner cloudflare troubleshooting guide', 'cloudflare ip conflict resolution steps', 'change dns records for website']",,,Website owners needing Cloudflare support,US,[],[],[],,,,too many values to unpack (expected 2)
peachmeleggings.com,partial error,"[""women's high-waisted leggings"", 'leggings sets for women', 'flared pants collection', 'shop now pay later with AfterPay', 'peach pocket collection leggings']",,"Leggings, Shorts, Flare Pants, Skirts, Bras, PULLOVER / Jacket, Long Sleeve, Short Sleeve, Tank Top, One Pieces",Women seeking stylish and comfortable leggings,US,[],[],[],,,,too many values to unpack (expected 2)
peachmode.com,partial error,"['download Peachmode app on Android & iOS', 'Peachmode sarees online shopping', 'luxurious fabric sarees for bridal occasions', 'online store for ethnic salwar suits', 'exclusive Indian kurtis and palazzo sets']",,"Sarees, Salwar Suits, Kurtis",Women seeking traditional Indian attire,US,[],[],[],,,,too many values to unpack (expected 2)
peachmodern.com,success,"['vintage furniture collection', 'mid-century modern art pieces', 'unique lighting fixtures', 'exotic collectible sculptures', 'luxury home decor items']",o,"furniture, seating tables, storage, outdoor lighting, art and wall decor, jewelry and watches",Home Decor Enthusiasts Seeking Unique Pieces,US,[],[],[],"['https://www.boconcept.com', 'https://www.castrads.com', 'https://flybynight.com', 'https://www.flybynight.com', 'https://rauantiques.com']",N,424,
peachmountain.com,success,"['world war I aircraft history', 'world war II tanks photos', 'cold war tank museums', 'European fortifications travel', 'warships and planes essays']",o,"History, Photos of Tanks, Fortifications, Ships and Planes, Books, Games, Essays, Travel",History enthusiasts interested in military artifacts,US,[],['info@usaww1.com'],[],"['https://www.britannica.com', 'https://www.history.com', 'https://www.history.navy.mil', 'https://media.defense.gov', 'https://airandspace.si.edu']",N,344,
peachofmind.com,success,"['cute Halloween costumes for babies', 'budget-friendly Halloween decorations', 'Winnie the Pooh baby shower decorations', 'easy broccoli roasting recipes', 'summer lemon print clothing']",o,"Halloween costumes, baby shower decorations, roasted broccoli recipes, summer clothing",Parents and caregivers preparing for events like Halloween and baby showers,"Georgia, US",[],[],[],"['https://shopgreatpretenders.com', 'https://www.lovejac.com', 'https://www.augustachronicle.com', 'https://www.happiestbaby.com', 'https://www.hgtv.com']",N,2350,
peachonaleash.com,partial error,"['dog training services in Alpharetta, Georgia', 'expert dog trainers in Metro Atlanta area', 'humane and science-based dog training methods', 'in-home private dog training programs', 'board and train dog service in North Atlanta']",,"In-Home Private Dog Training, Group Classes, Online Dog Training, Board & Train Service, Therapy Dog Training, Aggressive Dog Training, Puppy Training, Manners & Obedience Training, Leash Training, Fearful & Shy Dogs Training",Dog owners seeking professional training solutions,"Alpharetta, Georgia",[],['info@peachonaleash.com'],[],,,,too many values to unpack (expected 2)
peachorchardapartments.com,partial error,"['Peach Orchard Apartments floor plans', 'luxury apartments in Augusta GA', 'affordable luxury living near I-20', 'Augusta apartments with swimming pool', 'dog-friendly apartment community in Augusta']",,"apartments, floor plans, fitness center, swimming pool, dog park",Prospective renters seeking luxury living,"3630 Peach Orchard Road, Augusta, GA 30906",[],['peachorchard@gatewaymgt.com'],[],,,,too many values to unpack (expected 2)
peachpaperdesign.com,success,"['custom wedding invitation design services', 'small business graphic branding solutions', 'unique watercolor wedding stationery creation', 'modern small business branding assistance', 'high-quality custom graphic design products']",o,"wedding invitation design, small business branding, custom stationery, print shop services",Engaged couples and creative businesses,US,[],[],[],"['https://www.trulyengaging.com', 'https://cardsandpockets.com', 'https://bespokedesigns.com', 'https://www.katiefischerdesign.com', 'https://lilyandroeco.com']",N,136,
peachperfectskincare.com,partial error,"['full body waxing services', 'custom facial treatments near me', 'rejuvenating spa body treatments in West Hills', 'Brazilian bikini wax appointment booking', 'high-quality spa and cosmetic products']",,"Full Leg Waxing, Brazilian Bikini Wax, Eyebrow Waxing & Shaping, European Facials, Spa Body Treatments",Individuals seeking professional waxing and skincare treatments,"West Hills, CA",[],[],[''],,,,too many values to unpack (expected 2)
peachpitgym.com,partial error,"['boutique gymnastics studio classes', 'all star cheerleading teams training', 'competitive gymnastics events and camps', 'dance company programs for children', 'tumbling and trampoline instruction']",,"Gymnastics, Cheerleading, Dance, Ninja, Trampoline & Tumbling",Parents seeking extracurricular activities for children,"Atlanta, Georgia",[],"['theprado@peachpitgym.com', 'ssi@peachpitgym.com', 'manager@peachpitgym.com', 'dance@peachpitgym.com']",[''],,,,too many values to unpack (expected 2)
peachpitmusic.com,success,"['Peach Pit new album Magpie', 'Download Peach Pit songs', 'Peach Pit merchandise collection', 'Join Peach Pit mailing list', 'Peach Pit tour dates']",o,"New album 'Magpie', Song downloads, Merchandise, Mailing List, Tour Information",Music fans interested in Peach Pit's new releases and merchandise.,US,[],[],[],"['https://store.peachpitmusic.com', 'https://music.apple.com', 'https://www.peachpitmusic.com', 'https://www.sonymusic.ca', 'https://open.spotify.com']",N,583,
peachpitpotteryshop.com,partial error,"['handcrafted ceramic pottery', 'unique pottery gifts', 'artisanal pottery collection', 'custom handmade pottery pieces', 'original ceramic art for home']",,"ceramic pottery, handmade pottery, custom pottery, pottery gifts, artisanal ceramics",Individuals interested in unique and handcrafted pottery pieces,US,[],['info@peachpitpotteryshop.com'],[],,,,too many values to unpack (expected 2)
peach-pump.com,partial error,"['seamless leggings gym clothing', 'black flare shaping effect leggings', 'high class workmanship seamless leggings', 'breathable thick fabric grey leggings', 'modern sports crop tops and bras']",,"leggings, gym leggings, shorts, sport sets, sport bras, jackets, accessories",Fitness enthusiasts interested in high-quality workout apparel,US,[],[],[],,,,too many values to unpack (expected 2)
peachstatebasketball.com,success,"['Brandon Clay basketball showcases and tournaments', 'Brand marketing for high school basketball players', 'Grassroots alliance college exposure', 'Evaluation reports from Brandon Clay Scouting', 'Elite competition and training for girls basketball']",o,"Basketball showcases, Brand marketing, Player profiles, Evaluation reports, Training programs","Coaches, Players, Parents, Recruiters, Fans of high school basketball",US,[],[],[],"['://', 'https://x.com', 'https://brandonclayscouting.com', 'https://247sports.com', 'https://basketball.exposureevents.com']",N,993,
peachstatecandlesupply.com,partial error,"['fragrance oils for candle making', 'candle making supplies online', 'buy fragrance oil base', 'alcohol-based room spray base', 'concentrated mop soap base for DIY products']",,"Fragrance Oils, Candle Making Supplies, Room Spray Base, All Purpose Cleaner Base, Perfume Base, Reed/Electric Diffuser Base, Concentrated Mop Soap Base",DIY candle makers and craft enthusiasts,United States,[],[],[],,,,too many values to unpack (expected 2)
peachstateco.com,success,"['civil construction services Covington Georgia', 'licensed utility contractor road construction', 'Peach State Construction concrete installation', 'civil site development services Georgia', 'reliable civil construction company Covington']",o,"Road construction, Concrete Installation, Civil Site Development",Government agencies and private companies in construction,"Covington, Georgia",[],"['info@peachstateco.com', '770-788-6363info@peachstateco.com']",[''],"['https://davesonservices.com', 'https://www.steelcobuildings.com', 'https://www.dnb.com', 'https://www.procore.com', 'https://www.malcoconstructioninc.com']",N,8,
