url,status,keywords,business_name,products_services,target_audience,headers,emails,phones,result,error
http://Sanjosebengalcats.com,success,"['Bengal cat breeders', 'exotic feline companion', 'Bengal kitten prices', 'Bengal cats for sale in San Jose', 'family friendly Bengal cats']",San Jose Bengal Cats,"Bengal kittens, Bengal adult cats, Pedigree Paperwork, health checked by a licensed veterinarian, 2 Year genetic health guarantee","Individuals and families seeking a unique and intelligent feline companion, specifically those looking for exotic cat breeds in San Jose and surrounding areas",[],['rene@sanjosebengalcats.com'],[],,
peachmarketplace.com,success,"['halloween shirts', 'fall hoodies', 'halloween sweaters', 'leopard pumpkin graphic tees', 'autumn long sleeve tops']",Peach Marketplace,"Graphic Tees, Embroidery Accessories, Tops and Dresses, Hoodies, Sweatshirts, Long Sleeve Shirts, Halloween-themed apparel, Fall-themed apparel","Individuals seeking casual, seasonal clothing for the fall and Halloween season, with a focus on comfort, affordability, and trendy designs.",[],[],[],,
peachmcintyre.com,success,"['social media content creator', 'turn the internet into income', 'online business courses', 'credit repair kit', 'writing a book online']",Peach McIntyre Inc.,"Social Media Bundle, Do It Yourself Credit Repair Kit, Write A Book With Peach E-Guide, Facebook Reels With Peach E-Guide, YouTube With Peach E-Guide",Individuals seeking to monetize their online presence and create passive income through social media content creation and e-learning resources,[],"['Inc.813.797.1396support@peachmcintyre.com', 'support@peachmcintyre.com']",[''],,
peachmedical.com,success,"['point-of-care-testing-products', 'over-the-counter-antigen-test-kits', 'at-home-covid-19-tests', 'rapid-diagnostics-for-clinical-decision-making', 'covid-19-flu-test-kit']",Peach Medical,"Bulk & Wholesale, B2B purchasing, industry leading fulfillment technology, product procurement expertise, over-the-counter antigen test kits, point of care products (POCT), at-home COVID-19 tests, rapid diagnostics for clinical decision-making","Healthcare professionals, individuals and businesses seeking B2B purchasing solutions, clinicians and medical facilities requiring point-of-care testing products",[],[],[],,
peachmeleggings.com,success,"['leggings online shopping', 'free shipping in usa', 'shop now pay later afterpay shopsay', '10% off first order discount code', 'peach leggings brand ambassador']",Peach Me Leggings,"Leggings, Shorts, Flare Pants, Skirts, Bras, Tops, Pullover/Jacket, Long Sleeve, Short Sleeve, Tank Top, One Pieces","Young adults and women seeking affordable, trendy clothing options with free shipping in the U.S. and flexible payment plans.",[],[],[],,
peachmode.com,success,"['indian sarees online', 'art silk sarees for sale', 'kanjivaram sarees price list', 'banarasi silk salwar suits online shopping', ""kurtis for women's clothing""]",Peachmode,"Indian sarees, salwar suits, kurtis, tops & tunics, dresses, co-ords, lehengas, and more.","Women aged 18-45 seeking ethnic Indian clothing for various occasions, including weddings, parties, and daily wear.",[],['contact@peachmode.com'],[],,
peachmodern.com,success,"['vintage furniture collectibles', 'unique art decor pieces', 'mid century modern designs', 'brutalist sculptures iron', 'homedecor vintage style items']",Peach Modern,"Furniture, Art, Collectibles","Collectors and enthusiasts of unique, mid-century modern, and vintage home decor and art pieces, likely affluent individuals aged 35-55 with a refined taste in design",[],[],[],,
peach-momo.com,success,[],,,,[],[],[],[],
peachmountain.com,success,"['world war i aircraft', 'world war ii aircraft', 'tank museums saumur fort knox aberdeen ottawa moscow st petersburg', 'warships tanks world war i ii and cold war', 'ww1 ww2 military aviation history']",Peachmountain.com,"Tank museums, Warships, Tanks, World War I Aircraft, World War II Aircraft, Essays, Games, Books, Travel","History enthusiasts, Military buffs, Students of World War I and II, Educators seeking historical resources, Individuals interested in aviation and military history",[],['info@usaww1.com'],[],,
peachmusic.com,success,"['Peach music online store', 'Guitar accessories online', 'Bass guitar strings near me', 'Electric guitar amplifiers for sale', 'Music gear stores online']",Peach Music Store,"guitars, bass guitars, electric guitar amplifiers, drum sets, music lessons","Individuals and families seeking musical instruments, equipment, and accessories for personal use.",[],[],[],,
