url,status,error,keywords,business_name,products_services,target_audience,headers,emails,phones
url,error,"Error scraping https://url: HTTPSConnectionPool(host='url', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f769c2118a0>: Failed to resolve 'url' ([Errno -3] Temporary failure in name resolution)""))",,,,,,,
sanjosebengalcats.com,success,,"['bengal cat breeders near me', 'san jose bengal cats for sale', 'exotic feline companion', 'buy bengal kittens online', 'affectionate bengal cat breeds']",San Jose Bengal Cats,"{'main_offering': 'Bengal Cat Breeding and Sales', 'detailed_offerings': ['Bengal Kittens for Sale', 'Adult Bengal Cats for Sale'], 'unique_features': ['2-Year Genetic Health Guarantee', 'Pedigree Paperwork and Health Checks by Licensed Veterinarian']}","{'demographics': 'Cat owners, pet enthusiasts, families with children', 'interests': ['Exotic animals', 'Feline companionship', 'Cat breeding and sales'], 'behaviors': ['Active on social media platforms (Facebook, Instagram)', 'Regularly researches cat breeds and care']}",[],['rene@sanjosebengalcats.com'],[]
peachmarketplace.com,success,,"['halloween t shirts', 'fall apparel women', 'leopard print tops', 'pumpkin hoodies for men', 'embroidered tees for sale']",Peach Marketplace,"{'main_offering': 'Home Decor and Apparel', 'detailed_offerings': ['T-Shirts', 'Hoodies'], 'unique_features': ['Embroidered designs', 'Holiday-themed clothing']}","{'demographics': 'Women aged 25-45, men aged 25-50', 'interests': ['Home decor', 'Fashion and style'], 'behaviors': ['Regularly shop online for clothing and accessories', 'Active on social media platforms']}",[],[],[]
peachmcintyre.com,success,,"['social media content creation', 'online credit repair kit', 'digital marketing courses', 'writing a book guide', 'facebook reels training']",Peach McIntyre Inc.,"{'main_offering': 'Social Media Content Creation', 'detailed_offerings': ['E-Guides for Writing a Book', 'Credit Repair Kit', 'Facebook Reels Training'], 'unique_features': ['Online Courses and Mentorship Programs', 'Digital Marketing Training and Resources']}","{'demographics': 'Adults aged 25-55, with a focus on entrepreneurs, small business owners, and individuals interested in digital marketing', 'interests': ['Social media marketing', 'Content creation', 'Digital marketing', 'Online business'], 'behaviors': ['People looking to start or grow an online business', 'Individuals seeking to improve their social media presence and engagement']}",[],"['Inc.813.797.1396support@peachmcintyre.com', 'support@peachmcintyre.com']",['']
peachmedical.com,success,,"['covid 19 home test kit', 'antigen self-test for covid 19', 'rapid antigen test kits', 'point of care testing products', 'over the counter antigen test']",Peach Medical,"{'main_offering': 'Point of Care Testing Products (POCT)', 'detailed_offerings': ['Over-the-Counter Antigen Test Kits', 'Bulk & Wholesale Orders'], 'unique_features': ['Rapid Diagnostic Testing at Patient Care Site', 'Easy, At-Home Testing for Quick Detection of Infections']}","{'demographics': 'Healthcare Professionals, Individuals 18+ years old, B2B and E-commerce Purchasers', 'interests': ['Medical Supplies', 'Diagnostic Equipment', 'Health and Wellness'], 'behaviors': ['Regularly purchases medical supplies online', 'Has purchased point of care testing products in the past']}",[],[],[]
peachmeleggings.com,success,,"['leggings for women', ""women's leggings sets"", 'peach me leggings', 'free shipping in usa', 'shop now pay later']",Peach Me Leggings,"{'main_offering': 'Leggings and Activewear', 'detailed_offerings': [""Women's Leggings Sets"", 'Shorts and Skirts'], 'unique_features': ['Free Shipping in USA', 'Shop Now, Pay Later with AfterPay & ShopPay']}","{'demographics': 'Young women aged 18-45', 'interests': ['Fashion', 'Activewear', 'Lifestyle'], 'behaviors': ['Active online shoppers', 'Frequent users of social media platforms (Facebook, Instagram, TikTok)']}",[],[],[]
peachmode.com,success,,"['indian sarees online', 'banarasi silk sarees', 'kurtis for women', 'salwar suits online', 'bridal lehengas india']",Peachmode,"{'main_offering': 'Indian ethnic wear for women', 'detailed_offerings': ['Sarees', 'Salwar Suits', 'Kurtis'], 'unique_features': ['Banarasi silk sarees', 'Hand-embroidered kurtis']}","{'demographics': 'Women aged 25-45, middle to upper-middle class, residing in India and other countries with Indian diaspora', 'interests': ['Fashion', 'Indian culture', 'Wedding attire'], 'behaviors': ['Regularly shops online for clothing', 'Values quality and authenticity of products']}",[],['contact@peachmode.com'],[]
peachmodern.com,success,,"['vintage furniture collectibles', 'mid century modern art decor', 'contemporary design furniture', 'unique collectible sculptures', 'luxury home decor accessories']",Peach Modern,"{'main_offering': 'Unique collection of furniture, art and collectibles', 'detailed_offerings': ['vintage furniture', 'mid century modern art'], 'unique_features': ['luxury home decor accessories', 'high-end collectible sculptures']}","{'demographics': 'Affluent adults aged 35-55, high-income households', 'interests': ['interior design', 'art collecting', 'furniture shopping'], 'behaviors': ['online shoppers for luxury goods', 'high-end consumers of art and collectibles']}",[],[],[]
peachmountain.com,success,,"['world war i aircraft', 'world war ii aircraft', 'tank museums', 'military history books', 'wwi and wii aviation']",Peachmountain.com,"{'main_offering': 'Military History Resources and Information', 'detailed_offerings': ['World War I and World War II Aviation History', 'Tank Museums and Historical Sites'], 'unique_features': ['Detailed essays on military history', 'Photos of tanks, ships, and planes']}","{'demographics': 'Military enthusiasts, historians, and researchers', 'interests': ['World War I and World War II history', 'Aviation and military aircraft'], 'behaviors': ['Subscribes to newsletters on military history topics', 'Engages with online forums and communities discussing military history']}",[],['info@usaww1.com'],[]
peachofmind.com,success,,"['baby halloween costumes', 'halloween decorations on a budget', 'winnie the pooh baby shower decorations', 'easy ways to roast broccoli', 'lemon clothing for summer']",Peach of Mind,"{'main_offering': 'Lifestyle blog', 'detailed_offerings': ['Parenting tips', 'Home decor inspiration'], 'unique_features': []}","{'demographics': 'Female, 25-45 years old, middle to upper-middle class', 'interests': ['Parenting and baby-related topics', 'Home decor and organization'], 'behaviors': ['Regularly purchases products for home and family', 'Actively seeks out lifestyle inspiration online']}",[],[],[]
