url,status,error,keywords,business_name,products_services,target_audience,location,headers,emails,phones
url,error,"Error scraping https://url: HTTPSConnectionPool(host='url', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7fb19445dcc0>: Failed to resolve 'url' ([Errno -3] Temporary failure in name resolution)""))",,,,,,,,
sanjosebengalcats.com,success,,"['bengal cat breeders', 'exotic feline companions for sale', 'bengal kittens available', 'bengal cats for adoption', 'buy bengal cats']",San Jose Bengal Cats,"Bengal kittens, Bengal adults, Bengal cat breeders, exotic felines",Individuals and families seeking unique and affectionate pets with a focus on Bengal breed enthusiasts.,"New York, Los Angeles, Miami, San Jose",[],['rene@sanjosebengalcats.com'],[]
peachmarketplace.com,success,,"['halloween shirts', 'fall clothing sale', 'holiday tees for women', 'embroidered halloween accessories', 'ghost and cat halloween shirt']",Peach Marketplace,"Graphic Tees, Embroidery Accessories, Tops and Dresses, Hoodies, Sweatshirts, Stacking Bracelets","Individuals seeking affordable, trendy clothing and accessories for fall and Halloween season",United States,[],[],[]
peachmcintyre.com,success,,"['social media content creator', 'online business mentorship program', 'digital marketing income stream', 'content creation for beginners', 'turning internet into income']",Peach McIntyre Inc.,"Social Media Content Creator, Mentor Me Peach 7 Day Content Creator Group Mentorship Program",Individuals seeking to create a digital marketing income stream and learn content creation skills,United States,[],"['support@peachmcintyre.com', 'Inc.813.797.1396support@peachmcintyre.com']",['']
peachmedical.com,success,,"['point of care testing products', 'over the counter antigen test kits', 'covid-19 home test kits', 'pcr covid-19 tests', 'rapid antigen covid-19 tests']",Peach Medical,"Bulk & Wholesale, COVID-19 Test Kits, Point of Care Testing Products (POCT), Over-the-Counter Antigen Test Kits",Healthcare professionals and businesses seeking rapid diagnostic testing solutions for immediate clinical decision-making,United States,[],[],[]
peachmeleggings.com,success,,"['leggings online store', 'cheap leggings for women', 'free shipping on leggings', 'leggings with discount codes', 'best place to buy leggings']",Peach Me,"Leggings, Sets, Shorts, Flare Pants, Bras, Pullover/Jacket, Long Sleeve, Short Sleeve, Tank Top, One Pieces","Young women seeking affordable and comfortable clothing options with flexible payment plans, specifically in the United States.",United States,[],[],[]
peachmode.com,success,,"['indian ethnic wear online', 'sarees for sale online', 'salwar kameez sets online', 'kurtis and palazzo sets online', 'traditional indian clothing online']",Peachmode,"Sarees, Salwar Suits, Kurtis, Tops & Tunics, Dresses, Co-ords, LUXE Woolen Sale","Women seeking traditional Indian clothing and accessories online, specifically those interested in sarees, salwar kameez sets, and kurtis. Demographics include adults aged 25-45, with a focus on middle to upper-middle-class individuals.",India,[],[],[]
peachmodern.com,success,,"['vintage art collectibles', 'mid century modern furniture online', 'unique home decor items', 'art pieces for sale online', 'collectible art and antiques']",Peach Modern,"furniture, art, collectibles, vintage items, mid century modern design","Individuals with high-end taste in unique home decor and art, likely collectors or enthusiasts of mid century modern design.",United States,[],[],[]
peachmountain.com,success,,"['world war i aircraft', 'tank museums world wide', 'wwii aircraft history', 'warships and tank battles', 'military history books and games']",Peachmountain.com,"Tank Museums, Books, Games, Essays, Travel Guides for War History","History enthusiasts, researchers, and travelers interested in World War I and II aircraft, tanks, warships, and military history.",United States,[],['info@usaww1.com'],[]
peachofmind.com,success,,"['halloween costumes for babies', 'baby halloween decorations on a budget', 'winne the pooh baby shower ideas', 'easy ways to roast broccoli', 'lemon clothing for summer']",Peach of Mind,,"Individuals and families planning or preparing for baby-related events, such as Halloween costumes, baby showers, and outdoor dining.",United States,[],[],[]
peachonaleash.com,success,,"['dog training Atlanta', 'Atlanta dog trainers near me', 'in-home dog training Atlanta', 'board and train dogs Atlanta', 'group dog classes Atlanta']",Peach on a Leash Dog Training and Behavior Services,"In-Home Private Dog Training, Board & Train, Group Classes, Online Dog Training",Individuals and families in the north Atlanta area with dogs of all ages and breeds seeking effective dog training solutions.,"Alpharetta, Georgia",[],['info@peachonaleash.com'],[]
peachorchardapartments.com,success,,"['peach orchard apartments augusta ga', 'luxury living at affordable prices augusta', 'apartments in augusta ga 30906', 'peach orchard road apartments augusta ga', 'apartment communities near augusta mall']",Peach Orchard Apartments,"Apartments, Luxury Living at Affordable Prices, Floor Plans, Amenities","Individuals and families seeking luxury living options in Augusta, GA, with a medium to high income level and a desire for convenient amenities.","Augusta, GA 30906",[],['peachorchard@gatewaymgt.com'],[]
peachpaperdesign.com,success,,"['custom stationery design', 'wedding invitation design services', 'small business branding solutions', 'graphic design studio', 'watercolor wedding stationery']",Peach Paper & Design,"custom stationery, wedding invitation design, small business branding, graphic design, watercolor stationery prints","Brides-to-be and small business owners seeking unique, high-quality stationery and branding solutions.",United States,[],[],[]
peachperfectskincare.com,success,,"['waxing services los angeles', 'brazilian bikini wax west hills ca', 'facial treatments studio near me', 'spas with body waxing in calabasas', 'custom skincare solutions for dry skin']",Peach Perfect Skincare,"Full Leg Waxing, Brazilian Bikini Wax, Eyebrow Waxing & Shaping, European Facials, Spa Body Treatments","Women and individuals seeking semi-permanent hair removal services, facial treatments, and spa body treatments in the Los Angeles area.","West Hills, CA",[],[],['']
peachpitgym.com,success,,"['gymnastics classes for kids atlanta', 'cheerleading teams atlanta ga', 'dance studios in atlanta', 'tumbling and trampoline training atlanta', 'all star cheerleading near me']","The Peach Pit Gymnastics, LLC","gymnastics classes, competitive teams, all star cheerleading, dance company, tumbling & trampoline, camps, holiday camps, summer camps, private lessons, adult programming","Families with young children (ages 1-18) seeking recreational or competitive gymnastics, cheerleading, and dance training in the Atlanta area.","Atlanta, Georgia",[],"['ssi@peachpitgym.com', 'dance@peachpitgym.com', 'manager@peachpitgym.com', 'theprado@peachpitgym.com']",['']
peachpitmusic.com,success,,"['indie rock band music', 'new album magpie peach pit', 'canadian indie rock artists', 'peach pit tour dates 2023', 'magpie peach pit lyrics']",Peach Pit Music,"music, merchandise, concerts, tours","Young adults (18-35) interested in indie rock music and culture, likely based in Canada or the US.",Canada,[],[],[]
peachpitpotteryshop.com,success,,"['handmade ceramics', 'custom pottery shop', 'ceramic art studio', 'local pottery store', 'unique home decor']",Peach Pit Pottery Shop,"Handmade ceramics, Custom orders, Ceramic art pieces.",Individuals and families seeking unique home decor items and custom ceramic art pieces.,United States,[],['info@peachpitpotteryshop.com'],[]
peach-pump.com,success,,"['gym clothing for women', 'seamless sportswear', ""women's athletic wear"", 'leggings with pockets', 'sports bras with removable padding']",Peach Pump,"gym leggings, sports bras, crop tops, sports sets, leggings sets, accessories","Women seeking high-quality, comfortable, and stylish athletic wear for working out or everyday activities.",United States,[],[],[]
peachstatebasketball.com,success,,"['brand clay basketball showcases', 'college recruiting player profiles', 'grassroots alliance basketball tournament', 'brand clay scouting reports evaluation', 'high school boys basketball rankings']",Peach State Basketball,"basketball showcases, college recruiting player profiles, grassroots alliance tournaments, scouting reports and evaluations","High school boys and girls basketball players, their families, and coaches seeking college exposure and recruitment opportunities.",United States,[],[],[]
peachstatecandlesupply.com,success,,"['candle making supplies', 'fragrance oils for candle making', 'candle making wax', 'candle making wholesale', 'liquid bases for room sprays']",Peach State Candle Supply,"candle making supplies, fragrance oils, liquid bases, candle making jars, accessories","Individuals and small businesses seeking candle making supplies and wholesale options, likely crafty or entrepreneurial individuals with a focus on home decor and aromatherapy.",United States,[],[],[]
peachstateco.com,success,,"['civil construction services', 'road construction companies', 'concrete installation contractors', 'licensed utility contractor', 'construction services in Georgia']",Peach State Construction Company,"Road construction, Concrete Installation, Civil Site development","Government agencies and private companies seeking civil construction services in Covington, Georgia.","Covington, Georgia, United States",[],"['770-788-6363info@peachstateco.com', 'info@peachstateco.com']",['']
